"","cluster1","cluster9","cluster5","cluster4","cluster2","cluster8","cluster3","cluster6","cluster10","cluster7"
"SEEM.3014.1.B08",10.4405260040075,8.98059498558774,10.9300220393265,8.71637788118944,7.28981857371887,-0.180229660446548,-0.180229660446548,4.71098399872401,4.09061403521556,-0.180229660446548
"SEEM.607.1.C12",10.5933614531822,10.7031403636873,9.55069735929458,-0.1160997481033,10.155435670411,5.06378155651711,-0.1160997481033,-0.1160997481033,5.48356855936959,9.16560416054293
"SEEM.766.1.D07",5.4592960668163,10.8947967989737,10.9604275054888,-0.123746266629258,8.48051673098294,4.74985315682183,-0.123746266629258,6.4501769279355,-0.123746266629258,8.92169415896394
"SEEM.2836.2.D07",10.5715957194965,11.191071734547,8.79845683915352,-0.109748945650729,9.61900950316008,3.53250186314444,5.96677805824357,-0.109748945650729,6.1469361486234,-0.109748945650729
"SEEM.2856.1.E10",7.1752607902767,9.97944351458595,11.4278900896922,3.36406937297521,8.70973837568797,5.94049986413898,-0.117468476915175,-0.117468476915175,-0.117468476915175,-0.117468476915175
"SEEM.432.1.F09",10.3355258532212,10.2191870685483,10.7660888074231,-0.10334539474994,9.82965850272475,5.5263838463091,-0.10334539474994,-0.10334539474994,5.78874391458303,8.65516126487132
"SEEM.532.1.G08",11.0871694104078,9.93526207884991,9.95146458541712,4.25263784428758,9.02124117475206,6.90444935493494,9.11213097731994,-0.151397544864773,5.89683748516688,-0.151397544864773
"SEEM.2464.1.G12",9.57071348610379,10.8409956533418,10.8464952020759,-0.151712298446697,9.49662292817792,5.70910770442076,4.43555371788253,-0.151712298446697,6.8215524066785,4.86560118994075
"SEEM.1300.1.H08",11.4819219025482,10.6401184152054,5.71559854390383,-0.0843328209751615,8.14282441143915,5.5770510756482,-0.0843328209751615,-0.0843328209751615,6.16231765370504,-0.0843328209751615
"SEEM.300.1.H12",10.5345203143426,10.6141888393576,10.5618297003569,-0.132264571323111,7.53697047006115,5.77928512602864,3.79646082555505,6.01825769697093,-0.132264571323111,-0.132264571323111
"SEEM.1014.1.A06",10.2845475754317,9.12690889480422,10.8831342117145,5.16138450994281,6.74018625914379,-0.293341323758483,7.70384460664631,-0.293341323758483,-0.293341323758483,-0.293341323758483
"SEEM.2688.1.B01",10.2940308644115,10.4062303802154,10.7802344298808,5.34111698194941,5.51162642781116,5.72281667275094,7.31539079425008,-0.165526330511485,-0.165526330511485,7.19606355339532
"SEEM.2866.1.C06",11.2004754058449,9.93670935207729,9.26226305170485,-0.104276420536864,7.67061228919214,-0.104276420536864,6.67305030975962,-0.104276420536864,6.07486646599286,8.76894443580691
"SEEM.803.1.D04",10.3051903602226,10.0547957182221,10.6048757657275,4.09542715363896,9.8715475808901,-0.17651797740964,7.29636418354397,-0.17651797740964,-0.17651797740964,5.6008234920329
"SEEM.1299.1.E04",11.2908843919673,10.4006959034622,9.27650882517922,-0.164622821466494,7.55059710353963,-0.164622821466494,-0.164622821466494,-0.164622821466494,-0.164622821466494,-0.164622821466494
"SEEM.3009.1.E05",10.0869917583984,8.97580760315403,11.350773659795,-0.0918067775532485,7.51809101953402,3.20445508509381,5.70634751705687,-0.0918067775532485,5.52606499427463,-0.0918067775532485
"SEEM.1029.1.E06",10.7231834248425,9.79343188887084,10.1625671579554,-0.177188210066442,6.80200384393522,3.78767891518705,5.49176950884472,7.95847379841321,-0.177188210066442,5.66854250440642
"SEEM.1592.1.G04",9.79924758501009,9.64136776986433,11.095864891809,-0.0905906423401568,4.72701633567363,6.36484650405088,-0.0905906423401568,-0.0905906423401568,-0.0905906423401568,9.81037733468732
"SEEM.865.2.A02",10.3646486002228,11.177723089633,10.2764951809346,-0.0760854501308774,6.26066456716332,4.53065663962455,4.82356346364084,-0.0760854501308774,8.85518153575449,-0.0760854501308774
"SEEM.928.2.B05",9.49645575464975,10.967001571933,10.8106887564285,3.17579820590001,8.61685992619684,5.06221974760315,5.81056860737324,-0.0882068304136752,3.9751346278182,8.03291279578544
"SEEM.2418.2.D06",9.11468814480857,9.26779413277423,11.0357420512125,-0.166050275843737,10.0507248500105,6.56483078923122,4.61286313005816,9.46114660485635,4.42601490076121,7.04478723729304
"SEEM.338.2.E05",10.7176536544834,9.87515379913306,10.2904859705086,4.05720615207378,10.0330587165214,6.71479045530396,-0.169291548324173,-0.169291548324173,-0.169291548324173,-0.169291548324173
"SEEM.2770.2.E06",9.74318337515273,10.0181277196625,11.2477746103811,-0.162759117491033,8.30115905324429,4.43129965997515,6.5961912963705,-0.162759117491033,-0.162759117491033,6.684355640197
"SEEM.963.2.F01",10.2107415628326,11.5286991134065,6.65214918624351,-0.0682167155859599,8.97386257777258,4.77111207103973,-0.0682167155859599,-0.0682167155859599,-0.0682167155859599,-0.0682167155859599
"SEEM.497.2.G01",8.08447638006017,11.0534465952638,5.99133111701048,-0.0537290571455138,10.3774336504396,-0.0537290571455138,-0.0537290571455138,-0.0537290571455138,7.37735985047285,-0.0537290571455138
"SEEM.1341.2.G05",8.97421198366227,9.68561308960313,11.4293910295408,5.38781201377236,6.2083909882841,-0.16068115421451,-0.16068115421451,-0.16068115421451,4.79958238243906,-0.16068115421451
"SEEM.2991.2.H01",8.92219220109848,9.70649119563131,10.6422664031702,-0.121875586687628,2.50686382032015,-0.121875586687628,-0.121875586687628,11.1134574799467,-0.121875586687628,-0.121875586687628
"SEEM.2883.2.H04",9.93881687541446,10.0217537857833,11.0334829945167,-0.103632171029362,7.74316449575478,8.40089134147118,9.29880344134031,-0.103632171029362,2.60973823259581,-0.103632171029362
"SEEM.1400.2.H06",11.1006444176568,10.851693139562,8.99228236736418,-0.123826061044209,8.53917890009849,5.32913996751333,8.64505381996484,-0.123826061044209,4.46545568813,-0.123826061044209
"TOTO.K6001.4.H07",7.0442280774027,5.49287175506639,10.9415492853422,7.23118518667095,6.62472597017212,-0.257631522520459,8.72583620680068,-0.257631522520459,6.0078046704404,-0.257631522520459
"TOTO.K6002.4.B08",8.12493656344988,6.06212802778291,11.2188630658816,7.16805291092715,6.8284246024736,-0.264256511543516,4.85948357274354,-0.264256511543516,8.95033433035685,-0.264256511543516
"TOTO.K6003.4.A08",9.17863236903954,8.44953372009752,11.3963654107107,-0.11952971444539,6.90122775303012,4.43126445481216,6.94723149903208,-0.11952971444539,-0.11952971444539,-0.11952971444539
"TOTO.K6005.4.E08",2.31820259375209,11.1289365180784,4.90207581989875,-0.060026631175564,11.2074262358056,-0.060026631175564,-0.060026631175564,-0.060026631175564,8.00350476806332,-0.060026631175564
"TOTO.K6007.4.B09",7.10779893359873,8.13032479927278,11.2885864158955,-0.0810014019235741,9.40288550243893,-0.0810014019235741,9.26866656693218,-0.0810014019235741,9.0495886789437,-0.0810014019235741
"TOTO.K6008.4.F08",-0.0831896097731661,10.7759756539491,9.1387717611155,-0.0831896097731661,10.8835688161215,9.83496374645301,-0.0831896097731661,6.12267519453934,7.10575495887881,-0.0831896097731661
"TOTO.K6010.4.H08",6.10926346285721,7.98830093449858,8.06874207672517,5.25265955935527,6.01505607898011,-0.0838558389931165,5.23125797065224,-0.0838558389931165,11.6258361543898,-0.0838558389931165
"TOTO.K6014.4.C09",-0.0584139298718096,9.14609581643908,10.2389339255852,-0.0584139298718096,8.13406113927251,7.26566430845756,11.5550346562192,-0.0584139298718096,5.84063408829696,-0.0584139298718096
"TOTO.K6015.4.D09",3.58039953384113,8.76597828802127,10.2883113394511,-0.0733223241641525,11.3255794410074,-0.0733223241641525,-0.0733223241641525,-0.0733223241641525,8.94972847582341,-0.0733223241641525
"TOTO.K6016.4.F09",4.26155844380354,9.60799394187885,11.2282726708709,-0.0694758094550139,9.70704724311077,-0.0694758094550139,-0.0694758094550139,-0.0694758094550139,4.10959768700205,10.4537673216188
"TOTO.K6017.4.E09",9.43171951974526,10.1034128208042,10.5155267679912,-0.17259488792863,9.89732231547658,5.44238519902506,5.70227504045237,-0.17259488792863,7.8523135897309,-0.17259488792863
"TOTO.K6019.4.G09",9.28187308519326,10.2743898210498,11.3487646334233,8.44315144442488,-0.10988192888026,-0.10988192888026,-0.10988192888026,-0.10988192888026,-0.10988192888026,-0.10988192888026
"TOTO.K6024.1.C01",9.11145224840403,7.52183527100452,11.5874269240739,4.59541870491711,8.1079415887041,-0.169286994610724,7.11327306309836,-0.169286994610724,-0.169286994610724,-0.169286994610724
"TOTO.K6025.1.D01",4.95217632889898,10.0618589841933,11.5981726406491,-0.0789960598604029,5.59093171750764,8.97909550095802,-0.0789960598604029,-0.0789960598604029,-0.0789960598604029,-0.0789960598604029
"TOTO.K6028.1.F01",4.76829982425723,9.85004728823593,6.03374407660058,-0.0586242012075928,11.4401934372205,-0.0586242012075928,-0.0586242012075928,-0.0586242012075928,9.9631123775052,7.5441552626476
"TOTO.K6030.1.E01",8.55004681660813,8.5265206327859,11.412608279227,-0.06602193623314,8.04706168993749,-0.06602193623314,-0.06602193623314,-0.06602193623314,8.04320927735293,-0.06602193623314
"TOTO.K6035.1.H01",8.38231011907073,6.56792006149001,11.0459566818949,-0.0976788409057789,10.696349706431,7.07535631880377,-0.0976788409057789,-0.0976788409057789,9.31611689698704,-0.0976788409057789
"TOTO.K6042.1.A02",7.6238100593276,9.58592822579882,8.39134008692596,-0.0883351727083319,10.5948620281682,10.8195873007212,-0.0883351727083319,-0.0883351727083319,7.92746106842305,-0.0883351727083319
"TOTO.K6043.1.B02",10.4634312391591,8.2651375847614,11.3013537459515,6.60951250222593,9.07351503018921,6.94275254426267,5.85545964664806,-0.0833045572360263,-0.0833045572360263,-0.0833045572360263
"TOTO.K6044.1.E02",8.69632049433183,6.84146176530741,10.3667747934752,-0.235938058800553,10.6161561234867,-0.235938058800553,6.55663872205945,-0.235938058800553,-0.235938058800553,-0.235938058800553
"TOTO.K6054.1.H02",-0.0380839595957205,8.04620057742952,10.896990834886,-0.0380839595957205,11.2464782416662,-0.0380839595957205,-0.0380839595957205,-0.0380839595957205,5.23813276334927,-0.0380839595957205
"TOTO.K6055.1.C03",8.25588289805304,7.94412770128063,11.0748529439291,-0.246059080114097,9.42221147384203,-0.246059080114097,5.43403222950385,-0.246059080114097,-0.246059080114097,-0.246059080114097
"TOTO.K6057.1.E03",10.9228469916987,6.53997476934405,11.0175470598069,-0.104113845613545,8.6788917190213,6.91197420481093,-0.104113845613545,-0.104113845613545,-0.104113845613545,-0.104113845613545
"TOTO.K6058.1.D03",7.89542628765324,6.37738406529879,11.446351283763,-0.213341863258321,5.97825935257234,-0.213341863258321,-0.213341863258321,-0.213341863258321,-0.213341863258321,-0.213341863258321
"TOTO.K6059.1.C04",7.52631174158287,3.67542496914171,11.5961294770858,3.5246913032936,7.26615844613423,-0.210094782940812,-0.210094782940812,-0.210094782940812,-0.210094782940812,-0.210094782940812
"TOTO.K6065.1.G03",7.83280893628436,7.32571047264318,11.4779735712515,7.24034027626309,7.40165735650559,-0.210705642961964,4.71651511238126,-0.210705642961964,-0.210705642961964,-0.210705642961964
"TOTO.K6068.1.B04",8.72402832337067,10.831426140977,11.1321801760634,-0.0735902789251259,6.29979951539972,-0.0735902789251259,-0.0735902789251259,-0.0735902789251259,9.41513353459997,-0.0735902789251259
"TOTO.K6069.1.H03",7.08618551415536,9.24775391575823,11.4273325597068,8.97213735749846,5.9533105035578,-0.19184524723445,-0.19184524723445,-0.19184524723445,-0.19184524723445,-0.19184524723445
"TOTO.K6073.1.D04",8.50249545391631,8.35931502282563,11.7228217119902,-0.0936350929561272,8.16497320620815,-0.0936350929561272,8.48977680042324,-0.0936350929561272,-0.0936350929561272,-0.0936350929561272
"TOTO.K6075.1.E04",8.85400993473579,9.04031835219283,10.8063635121022,-0.137407045764975,10.864780988975,-0.137407045764975,5.29960806582656,-0.137407045764975,3.6690646771219,-0.137407045764975
"TOTO.K6078.1.H04",7.26460561792778,11.0835730498123,11.064484528359,-0.086078436455324,8.32586175357404,-0.086078436455324,6.83833967319026,-0.086078436455324,-0.086078436455324,-0.086078436455324
"TOTO.K6081.1.A05",9.135304851169,8.52177122842046,11.2406856309887,-0.0776295011176753,10.6875214341071,8.56401491264646,-0.0776295011176753,-0.0776295011176753,8.31578515486093,-0.0776295011176753
"TOTO.K6086.1.C05",9.18174174124867,7.15826116364395,10.922950377756,-0.177765241064161,8.25198555454516,6.10009691546546,6.18588472308445,-0.177765241064161,8.3442958551005,-0.177765241064161
"TOTO.K6087.1.D05",8.42931762268085,9.21274445824012,9.97384958016363,-0.127693980749028,11.2749098247707,-0.127693980749028,5.26104064335756,-0.127693980749028,7.71726985600748,-0.127693980749028
"TOTO.K6088.1.F05",8.44719317435214,10.375371283266,11.2684658641801,-0.0829623273746112,8.03596830452893,4.36607786962858,-0.0829623273746112,-0.0829623273746112,-0.0829623273746112,7.87512990901735
"TOTO.K6091.1.E05",8.94369283402496,7.77940718601609,11.5118206517677,-0.0834214785054836,-0.0834214785054836,-0.0834214785054836,5.23838693533496,-0.0834214785054836,-0.0834214785054836,-0.0834214785054836
"TOTO.K6092.1.H06",8.22473028564434,8.23405966333486,10.9579879313816,-0.244046026129501,9.57871690274975,-0.244046026129501,-0.244046026129501,-0.244046026129501,5.40416835191553,-0.244046026129501
"TOTO.K6094.1.A06",8.1053662198064,5.55181155891563,11.0694758964865,-0.139323010308624,9.4461330787307,-0.139323010308624,-0.139323010308624,-0.139323010308624,7.19361318490495,-0.139323010308624
"TOTO.K6097.1.D06",5.00080906058556,6.36666091111203,9.64435724773935,-0.0699874274977237,8.37911623498426,-0.0699874274977237,11.1775133204628,-0.0699874274977237,10.37788848247,-0.0699874274977237
"TOTO.K6098.1.B06",6.56246838541792,9.33569228753129,5.56081256808635,-0.0413935856332834,11.8498102213654,-0.0413935856332834,-0.0413935856332834,-0.0413935856332834,7.25493777409517,-0.0413935856332834
"TOTO.K6100.1.A07",8.36165719350207,6.28371389009758,11.7872552461536,5.35955996573339,7.40856840968482,-0.0869690871097912,-0.0869690871097912,-0.0869690871097912,5.84743792874142,-0.0869690871097912
"TOTO.K6101.1.E07",6.26188696375211,10.7189419347418,3.16632465017113,-0.0297028164112039,11.6250017630463,-0.0297028164112039,-0.0297028164112039,-0.0297028164112039,-0.0297028164112039,-0.0297028164112039
"TOTO.K6103.1.G07",7.10080846285141,10.4813149846778,10.7886143295526,-0.0629493224668831,8.86611809858679,-0.0629493224668831,-0.0629493224668831,-0.0629493224668831,-0.0629493224668831,10.5893981291407
"TOTO.K6104.1.F07",-0.0610462090339894,9.2887558216746,8.00921801448856,-0.0610462090339894,9.30903874620528,-0.0610462090339894,-0.0610462090339894,-0.0610462090339894,11.4592034445097,7.6720287591935
"TOTO.K6106.1.B07",9.59589844029297,7.2741277557313,10.1042820702264,4.4167638306535,9.71119387887261,-0.176761808961006,9.6083661478103,-0.176761808961006,-0.176761808961006,-0.176761808961006
"TOTO.K6112.1.A08",9.05728808237179,6.74693560809276,11.4797101390512,4.09457638860575,6.5240390909775,-0.172630284812184,7.05798487514358,-0.172630284812184,3.96304597745874,-0.172630284812184
"TOTO.K6113.1.B08",10.7044908026226,8.25775253962405,10.3543345734685,7.96637928879938,10.4280839158034,5.38691267518985,8.34210819646822,-0.115548167582146,8.96088984384531,-0.115548167582146
"TOTO.K6118.1.D08",9.23571462308637,5.11676975583975,10.1796301732257,5.5206790596258,6.61721317009198,-0.251158374930913,-0.251158374930913,-0.251158374930913,5.443967109898,-0.251158374930913
"TOTO.K6120.1.F08",8.29449829412736,7.89095609733709,11.3309151597621,-0.124846545450275,10.0884907780572,-0.124846545450275,-0.124846545450275,-0.124846545450275,7.00722280593975,-0.124846545450275
"TOTO.K6124.1.E08",7.30896905026474,6.67817875140813,10.273298723788,10.6037145138051,7.69978523537776,-0.35637091152608,9.15358250445127,-0.35637091152608,5.93266256613706,-0.35637091152608
"TOTO.K6125.1.G08",8.53581769831576,8.08199777483155,11.6135452049888,-0.144783667282883,4.40921761258745,-0.144783667282883,-0.144783667282883,-0.144783667282883,-0.144783667282883,-0.144783667282883
"TOTO.K6129.1.B09",-0.0830954223596478,10.2369836942616,7.17164316038267,-0.0830954223596478,11.0569229411684,7.48528753906637,10.6235029283047,-0.0830954223596478,6.56302326313992,-0.0830954223596478
"TOTO.K6137.1.F09",8.19858917973474,6.46408246526571,11.709031483792,-0.0990767273388737,5.63662453437671,-0.0990767273388737,-0.0990767273388737,-0.0990767273388737,-0.0990767273388737,-0.0990767273388737
"TOTO.K6150.1.E10",6.73724341980138,5.91979065428873,11.4890042075931,-0.0831610157237233,10.3214490280608,-0.0831610157237233,8.32833714763467,-0.0831610157237233,-0.0831610157237233,-0.0831610157237233
"TOTO.K6153.1.G11",9.23937858705017,8.78084759068336,10.2946716040559,8.67815462932965,7.44980905549689,-0.251754671421962,5.89154910429731,-0.251754671421962,6.65024381303586,-0.251754671421962
"TOTO.K6158.1.A12",9.33251118460485,9.24025465844762,11.4680461178011,4.34991269252878,4.16983722947834,-0.138088823514799,8.38768641945328,-0.138088823514799,-0.138088823514799,-0.138088823514799
"TOTO.K6159.1.B11",6.53323534131751,6.11697349666726,11.0187455088951,-0.173888627358668,9.85815463143726,-0.173888627358668,7.96846960352291,-0.173888627358668,-0.173888627358668,-0.173888627358668
